Date;Open;High;Low;Close;Pivot;Resistance 1;Support 1;Resistance 2;Support 2;Resistance 3;Support 3;CPR Pivot;CPR BC;CPR TC
Fri Sep 27 2024 11:26:00 GMT+0530 (India Standard Time);44.4;45.35;44.25;45;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:27:00 GMT+0530 (India Standard Time);45;46.3;45;46.25;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:28:00 GMT+0530 (India Standard Time);46.2;46.65;45.9;46.3;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:29:00 GMT+0530 (India Standard Time);46.3;48.2;46.3;47.6;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:30:00 GMT+0530 (India Standard Time);47.6;47.85;45.8;47.15;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:31:00 GMT+0530 (India Standard Time);47.15;47.2;46.55;46.75;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:32:00 GMT+0530 (India Standard Time);46.75;46.85;45.65;46.4;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:33:00 GMT+0530 (India Standard Time);46.4;46.4;45.6;45.8;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:34:00 GMT+0530 (India Standard Time);45.8;46.25;45;45.9;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:35:00 GMT+0530 (India Standard Time);45.9;46.3;45.1;46.05;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:36:00 GMT+0530 (India Standard Time);46;46.35;44.65;45;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:37:00 GMT+0530 (India Standard Time);45.2;46;44.8;45.95;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:38:00 GMT+0530 (India Standard Time);45.9;47.45;45.55;46.75;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:39:00 GMT+0530 (India Standard Time);47;47;45.5;45.8;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:40:00 GMT+0530 (India Standard Time);45.85;46.4;45.5;45.85;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:41:00 GMT+0530 (India Standard Time);46.05;46.2;45.2;45.85;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:42:00 GMT+0530 (India Standard Time);45.85;45.85;44.65;44.85;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:43:00 GMT+0530 (India Standard Time);44.65;45.3;44.65;45.05;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:44:00 GMT+0530 (India Standard Time);45;45.4;44.5;45.05;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 11:45:00 GMT+0530 (India Standard Time);45;45.2;44.65;45;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
